num,species,sample,treatment,segment,VWC_FDR_f,RAW_VWC_f,Temp_f,mass_f,volume_cal_f,VWC_est,VWC_FDR_exp,RAW_VWC_exp,Temp_exp,mass_exp,VWC_est_exp,diff_perc,dry_mass,VWC_grav,VWC_exp,density,denscat
1,Manilkara_bidentata,A,W,1,0.251,24403,28.2,1040.86,898.4062,0.318562797,0.282,25210,27,1060.04,0.339911715,2.134891767,758.37,0.314434607,0.335783524,0.844128191,0.8
2,Manilkara_bidentata,A,W,2,0.259,24613,27.5,922.38,796.5451,0.317975864,0.278,25109,27,933.53,0.331973815,1.399795191,649.58,0.342479039,0.35647699,0.815496825,0.8
3,Manilkara_bidentata,A,D,3,0.262,24710,26.8,865.75,750.2446,0.313956989,0.117,20957,26.6,680.9,0.067570678,-24.63863119,669.59,0.261461395,0.015075084,0.892495594,0.9
4,Manilkara_bidentata,A,D,4,0.268,24853,29.5,815.39,720.4065,0.291847089,0.179,22559,27.2,709.13,0.144347032,-14.75000573,564.45,0.348331116,0.200831059,0.783515973,0.8
5,Manilkara_bidentata,A,D,5,0.266,24778,28.2,886.17,773.9093,0.305056662,0.19,22820,26.6,811.35,0.208378667,-9.667799573,603.07,0.36580514,0.269127144,0.779251522,0.8
6,Manilkara_bidentata,A,D,6,0.264,24742,29,863.09,746.129,0.316757076,0.151,21824,26.5,712.97,0.115558623,-20.11984523,603.36,0.348103344,0.146904892,0.808653731,0.8
7,Manilkara_bidentata,A,D,7,0.263,24708,27.6,843.08,737.8978,0.302543046,0.171,22350,26.1,750.04,0.176455124,-12.60879217,593.38,0.338393745,0.212305823,0.804149301,0.8
8,Manilkara_bidentata,A,D,8,0.258,24595,29.2,836.54,730.6955,0.304854457,0.222,23634,25.3,794.74,0.247648685,-5.720577176,604.56,0.317478348,0.260272576,0.827376109,0.8
9,Manilkara_bidentata,A,W,9,0.264,24726,28.6,907.66,791.4006,0.306903351,0.291,25437,27.5,924.11,0.327689284,2.078593319,677.63,0.290661897,0.311447831,0.856241453,0.9
10,Manilkara_bidentata,A,D,10,0.265,24744,27.6,823.13,729.6666,0.288090555,0.181,22614,26.8,719.76,0.146423114,-14.1667441,584.82,0.326601218,0.184933777,0.801489338,0.8
11,Manilkara_bidentata,A,D,11,0.259,24622,29,770.74,702.9152,0.256490729,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,Manilkara_bidentata,A,D,12,0.258,24590,29.5,813.73,724.5221,0.283126541,0.153,22328,27.3,693.36,0.116989442,-16.61370992,568.31,0.338733629,0.172596529,0.784392912,0.8
13,Manilkara_bidentata,A,W,13,0.265,24777,29.7,790.71,701.8863,0.286549984,0.295,25550,27.6,807.28,0.310157796,2.360781226,586.03,0.291614183,0.315221995,0.834935801,0.8
14,Manilkara_bidentata,A,W,14,0.263,24725,29.1,841.77,747.1579,0.286629324,0.295,25537,27,855.46,0.304952091,1.832276685,578.06,0.352950829,0.371273596,0.773678496,0.8
15,Manilkara_bidentata,A,D,15,0.264,24723,29.4,726.72,660.7303,0.259873882,0.135,NA,29,557.26,0.003400098,-25.64737836,516.11,0.318753355,0.062279572,0.781120527,0.8
16,Manilkara_bidentata,B,W,1,0.244,24220,29.3,798.43,704.973,0.292568198,0.259,24612,27,806.75,0.304370068,1.180187043,650.94,0.209213686,NA,NA,NA
17,Manilkara_bidentata,B,W,2,0.246,24269,29.5,881.24,768.7648,0.306306387,0.287,25319,27.5,895.82,0.325271875,1.896548853,647.42,0.304150242,0.323115731,0.842156145,0.8
18,Manilkara_bidentata,B,D,3,0.25,24380,29.3,892.5,771.8515,0.316310508,0.169,22288,27.5,751.49,0.133619926,-18.26905823,727.6,0.213642132,NA,0.942668376,0.9
19,Manilkara_bidentata,B,D,4,0.25,24368,29.5,923.91,800.6607,0.313934494,0.186,22719,29.2,816.48,0.179757808,-13.41766868,658.01,0.332100726,0.197924039,0.821833768,0.8
20,Manilkara_bidentata,B,W,5,0.259,24616,29,900.39,770.8226,0.328089778,0.284,25252,27,911.84,0.342944039,1.485426089,636.95,0.341764759,0.35661902,0.82632502,0.8
21,Manilkara_bidentata,B,D,6,0.254,24470,29.1,914.76,790.3717,0.317379496,0.178,22532,28.3,776.81,0.142841364,-17.45381319,731.41,0.23197946,NA,NA,NA
22,Manilkara_bidentata,B,D,7,0.263,24725,29.5,909.43,784.1983,0.319693919,0.206,23249,29.2,838.54,0.229295866,-9.039805366,601.58,0.392566523,NA,NA,NA
23,Manilkara_bidentata,B,D,8,0.253,24443,29.2,949.17,823.2965,0.312889633,0.18,25560,28.1,803.61,0.136088202,-17.68014318,675.33,0.33261407,0.155812639,0.820275563,0.8
24,Manilkara_bidentata,B,D,9,0.25,24384,29.1,923.99,803.7474,0.309602475,0.226,23760,29.2,885.16,0.261291276,-4.831119827,667.55,0.319055464,0.270744266,0.83054701,0.8
25,Manilkara_bidentata,B,W,10,0.231,,28.1,967.42,845.9323,0.303613975,0.276,25055,27,983.2,0.32226795,1.865397503,825.31,0.167992167,NA,NA,NA
26,Manilkara_bidentata,C,D,1,0.226,23735,29.8,908.84,783.1694,0.320464135,0.175,NA,NA,814.73,0.200298561,-12.01655734,687.36,0.282799609,0.162634035,0.877664526,0.9
27,Manilkara_bidentata,C,W,2,0.226,23759,30.4,976.79,833.5855,0.331793415,0.264,NA,NA,996.97,0.35600209,2.420867446,706.86,0.323818013,0.348026687,0.847975403,0.8
28,Manilkara_bidentata,C,D,3,0.226,23817,30,996.01,852.1057,0.328880809,0.179,NA,NA,900.78,0.217122373,-11.17584356,743.06,0.296852843,0.185094408,0.872027966,0.9
29,Manilkara_bidentata,C,D,4,0.228,23716,30.9,684.51,743.0423,0.081226154,0.14,21836,NA,732.43,0.145717771,6.449161777,615.4,0.09300951,0.157501127,0.828216644,0.8
30,Manilkara_bidentata,C,D,5,0.224,23715,29.9,847.73,734.8111,0.313670651,0.114,21944,NA,724.89,0.146498435,-16.71722161,616.92,0.314107939,0.146935723,0.839562712,0.8
31,Manilkara_bidentata,C,W,6,0.229,23786,30.5,916.89,771.8515,0.347909851,0.277,25065,NA,935.5,0.372020706,2.411085552,658.9,0.334248233,0.358359089,0.853661618,0.9
32,Manilkara_bidentata,C,D,7,0.237,24035,30,905.66,775.9671,0.327137112,0.184,22658,NA,820.68,0.217622159,-10.95149524,699.49,0.265694254,0.156179302,0.901442858,0.9
33,Manilkara_bidentata,C,D,8,0.233,23948,29.9,902.45,782.1405,0.313820829,0.158,22002,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,Manilkara_bidentata,C,D,9,0.233,23945,30.2,964.47,834.6144,0.315587538,0.168,22236,NA,853.88,0.183083235,-13.25043038,735.11,0.274809541,0.142305237,0.880777998,0.9
35,Manilkara_bidentata,C,D,10,0.237,24046,30,976.74,829.4699,0.33754725,0.164,22159,NA,839.04,0.17153761,-16.60096406,721.56,0.307642266,0.141632626,0.869904984,0.9
36,Manilkara_bidentata,C,D,11,0.231,23886,30,911.77,778.0249,0.331903367,0.164,22243,NA,804.26,0.193720129,-13.81832381,701.28,0.27054404,0.132360802,0.901359327,0.9
37,Manilkara_bidentata,C,W,12,0.22,23613,20.6,898.5,738.9267,0.375952814,0.244,24212,NA,913.52,0.396279593,2.032677937,686.5,0.286902612,0.307229391,0.929050202,0.9
