"time","swcT","temperatureT","swcB","temperatureB","date","RAWT","RAWB","epT","epB","epT.sqrt","epB.sqrt"
2023-06-26 11:30:00,0.411,26.4,0.432,26.3,2023-06-26 11:30:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 11:45:00,0.411,26.5,0.432,26.4,2023-06-26 11:45:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 12:00:00,0.411,26.6,0.432,26.6,2023-06-26 12:00:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 12:15:00,0.411,26.8,0.432,26.7,2023-06-26 12:15:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 12:30:00,0.411,26.8,0.432,26.9,2023-06-26 12:30:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 12:45:00,0.411,26.9,0.432,27,2023-06-26 12:45:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 13:00:00,0.411,27,0.432,27,2023-06-26 13:00:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-26 13:15:00,0.41,27.1,0.432,27.1,2023-06-26 13:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 13:30:00,0.41,27.2,0.432,27.2,2023-06-26 13:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 13:45:00,0.41,27.3,0.432,27.3,2023-06-26 13:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 14:00:00,0.41,27.3,0.432,27.3,2023-06-26 14:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 14:15:00,0.41,27.4,0.432,27.4,2023-06-26 14:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 14:30:00,0.41,27.4,0.432,27.4,2023-06-26 14:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 14:45:00,0.41,27.5,0.432,27.5,2023-06-26 14:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 15:00:00,0.41,27.5,0.432,27.5,2023-06-26 15:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 15:15:00,0.41,27.5,0.432,27.5,2023-06-26 15:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 15:30:00,0.41,27.5,0.432,27.5,2023-06-26 15:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 15:45:00,0.41,27.6,0.432,27.5,2023-06-26 15:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 16:00:00,0.41,27.6,0.432,27.5,2023-06-26 16:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 16:15:00,0.41,27.6,0.432,27.5,2023-06-26 16:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-26 16:30:00,0.41,27.6,0.433,27.5,2023-06-26 16:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 16:45:00,0.41,27.6,0.433,27.5,2023-06-26 16:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 17:00:00,0.41,27.6,0.433,27.4,2023-06-26 17:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 17:15:00,0.41,27.5,0.433,27.4,2023-06-26 17:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 17:30:00,0.41,27.5,0.433,27.4,2023-06-26 17:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 17:45:00,0.41,27.5,0.433,27.4,2023-06-26 17:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 18:00:00,0.41,27.4,0.433,27.3,2023-06-26 18:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 18:15:00,0.41,27.4,0.433,27.3,2023-06-26 18:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 18:30:00,0.41,27.4,0.433,27.2,2023-06-26 18:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 18:45:00,0.41,27.3,0.433,27.2,2023-06-26 18:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 19:00:00,0.41,27.2,0.433,27.1,2023-06-26 19:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 19:15:00,0.41,27.2,0.433,27,2023-06-26 19:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 19:30:00,0.41,27.1,0.433,27,2023-06-26 19:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 19:45:00,0.41,27.1,0.433,26.9,2023-06-26 19:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 20:00:00,0.41,27,0.433,26.8,2023-06-26 20:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 20:15:00,0.41,26.9,0.433,26.8,2023-06-26 20:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 20:30:00,0.41,26.9,0.433,26.7,2023-06-26 20:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 20:45:00,0.41,26.9,0.433,26.7,2023-06-26 20:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 21:00:00,0.41,26.8,0.433,26.6,2023-06-26 21:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 21:15:00,0.41,26.8,0.433,26.5,2023-06-26 21:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 21:30:00,0.41,26.7,0.433,26.4,2023-06-26 21:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 21:45:00,0.41,26.6,0.433,26.4,2023-06-26 21:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 22:00:00,0.41,26.6,0.433,26.3,2023-06-26 22:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 22:15:00,0.41,26.5,0.433,26.3,2023-06-26 22:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 22:30:00,0.41,26.5,0.433,26.2,2023-06-26 22:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 22:45:00,0.41,26.5,0.433,26.1,2023-06-26 22:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 23:00:00,0.41,26.4,0.433,26.1,2023-06-26 23:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 23:15:00,0.41,26.4,0.433,26,2023-06-26 23:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 23:30:00,0.41,26.3,0.433,26,2023-06-26 23:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-26 23:45:00,0.41,26.3,0.433,25.9,2023-06-26 23:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 00:00:00,0.41,26.2,0.433,25.9,2023-06-27 00:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 00:15:00,0.41,26.2,0.433,25.8,2023-06-27 00:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 00:30:00,0.41,26.1,0.433,25.7,2023-06-27 00:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 00:45:00,0.41,26.1,0.433,25.7,2023-06-27 00:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 01:00:00,0.41,26,0.433,25.6,2023-06-27 01:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 01:15:00,0.41,26,0.433,25.5,2023-06-27 01:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 01:30:00,0.41,25.9,0.433,25.5,2023-06-27 01:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 01:45:00,0.41,25.9,0.433,25.4,2023-06-27 01:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 02:00:00,0.41,25.8,0.433,25.3,2023-06-27 02:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 02:15:00,0.41,25.8,0.433,25.3,2023-06-27 02:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 02:30:00,0.41,25.7,0.433,25.2,2023-06-27 02:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 02:45:00,0.41,25.6,0.433,25.1,2023-06-27 02:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 03:00:00,0.41,25.6,0.433,25.1,2023-06-27 03:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 03:15:00,0.41,25.5,0.432,25,2023-06-27 03:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 03:30:00,0.41,25.5,0.433,24.9,2023-06-27 03:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 03:45:00,0.41,25.4,0.433,24.9,2023-06-27 03:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 04:00:00,0.41,25.4,0.432,24.9,2023-06-27 04:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 04:15:00,0.41,25.4,0.432,24.8,2023-06-27 04:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 04:30:00,0.41,25.3,0.432,24.8,2023-06-27 04:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 04:45:00,0.41,25.3,0.432,24.7,2023-06-27 04:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 05:00:00,0.41,25.3,0.432,24.7,2023-06-27 05:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 05:15:00,0.41,25.3,0.432,24.7,2023-06-27 05:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 05:30:00,0.41,25.2,0.432,24.6,2023-06-27 05:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 05:45:00,0.41,25.2,0.432,24.6,2023-06-27 05:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 06:00:00,0.41,25.2,0.432,24.6,2023-06-27 06:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 06:15:00,0.41,25.2,0.432,24.5,2023-06-27 06:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 06:30:00,0.41,25.1,0.432,24.5,2023-06-27 06:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 06:45:00,0.41,25.1,0.432,24.5,2023-06-27 06:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 07:00:00,0.41,25,0.432,24.4,2023-06-27 07:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 07:15:00,0.41,25,0.432,24.4,2023-06-27 07:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 07:30:00,0.41,25.1,0.432,24.4,2023-06-27 07:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 07:45:00,0.41,25.1,0.432,24.4,2023-06-27 07:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 08:00:00,0.41,25.1,0.432,24.4,2023-06-27 08:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 08:15:00,0.41,25.1,0.432,24.5,2023-06-27 08:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 08:30:00,0.41,25.1,0.432,24.5,2023-06-27 08:30:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 08:45:00,0.41,25.2,0.432,24.6,2023-06-27 08:45:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 09:00:00,0.41,25.3,0.432,24.7,2023-06-27 09:00:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 09:15:00,0.41,25.4,0.432,24.9,2023-06-27 09:15:00,2844.94678393634,2901.21972648559,23.3930452393678,26.0416098454058,4.83663573565012,5.10309806347142
2023-06-27 09:30:00,0.411,25.5,0.432,25.1,2023-06-27 09:30:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 09:45:00,0.411,25.6,0.432,25.3,2023-06-27 09:45:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 10:00:00,0.411,25.7,0.432,25.4,2023-06-27 10:00:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 10:15:00,0.411,25.9,0.432,25.6,2023-06-27 10:15:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 10:30:00,0.411,26,0.432,25.8,2023-06-27 10:30:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 10:45:00,0.411,26.1,0.432,26,2023-06-27 10:45:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 11:00:00,0.411,26.2,0.432,26.1,2023-06-27 11:00:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 11:15:00,0.411,26.4,0.433,26.3,2023-06-27 11:15:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 11:30:00,0.411,26.5,0.432,26.5,2023-06-27 11:30:00,2847.50464496131,2901.21972648559,23.5050113644289,26.0416098454058,4.84819671263749,5.10309806347142
2023-06-27 11:45:00,0.411,26.6,0.433,26.6,2023-06-27 11:45:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 12:00:00,0.411,26.7,0.433,26.7,2023-06-27 12:00:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 12:15:00,0.411,26.8,0.433,26.8,2023-06-27 12:15:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 12:30:00,0.411,26.9,0.433,27,2023-06-27 12:30:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 12:45:00,0.411,27,0.433,27.1,2023-06-27 12:45:00,2847.50464496131,2903.77758751056,23.5050113644289,26.1717969356845,4.84819671263749,5.11583785275535
2023-06-27 13:00:00,0.41,27.1,0.433,27.1,2023-06-27 13:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 13:15:00,0.41,27.2,0.433,27.2,2023-06-27 13:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 13:30:00,0.41,27.3,0.433,27.3,2023-06-27 13:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 13:45:00,0.41,27.3,0.433,27.3,2023-06-27 13:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 14:00:00,0.41,27.4,0.433,27.3,2023-06-27 14:00:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 14:15:00,0.41,27.4,0.433,27.3,2023-06-27 14:15:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 14:30:00,0.41,27.4,0.433,27.3,2023-06-27 14:30:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
2023-06-27 14:45:00,0.41,27.5,0.433,27.3,2023-06-27 14:45:00,2844.94678393634,2903.77758751056,23.3930452393678,26.1717969356845,4.83663573565012,5.11583785275535
