"","date","swc","temperature","treatment","replicate"
"1","27/05/2023 12:30",NA,26.9,"wood","1"
"2","27/05/2023 12:35",NA,26.5,"wood","1"
"3","27/05/2023 12:40",NA,26.2,"wood","1"
"4","27/05/2023 12:45",NA,26,"wood","1"
"5","27/05/2023 12:50",NA,25.8,"wood","1"
"6","27/05/2023 12:55",NA,25.7,"wood","1"
"7","27/05/2023 13:00",0.291,25.6,"wood","1"
"8","27/05/2023 13:05",0.291,25.5,"wood","1"
"9","27/05/2023 13:10",0.291,25.4,"wood","1"
"10","27/05/2023 13:15",0.291,25.4,"wood","1"
"11","27/05/2023 13:20",0.291,25.4,"wood","1"
"12","27/05/2023 13:25",0.291,25.3,"wood","1"
"13","27/05/2023 13:30",0.29,25.3,"wood","1"
"14","27/05/2023 13:35",0.29,25.3,"wood","1"
"15","27/05/2023 13:40",0.289,25.4,"wood","1"
"16","27/05/2023 13:45",0.289,25.4,"wood","1"
"17","27/05/2023 13:50",0.289,25.4,"wood","1"
"18","27/05/2023 13:55",0.289,25.4,"wood","1"
"19","27/05/2023 14:00",0.289,25.4,"wood","1"
"20","27/05/2023 14:05",0.289,25.5,"wood","1"
"21","27/05/2023 14:10",0.289,25.5,"wood","1"
"22","27/05/2023 14:15",0.289,25.5,"wood","1"
"23","27/05/2023 14:20",0.289,25.5,"wood","1"
"24","27/05/2023 14:25",0.289,25.6,"wood","1"
"25","27/05/2023 14:30",0.288,25.6,"wood","1"
"26","27/05/2023 14:35",0.288,25.6,"wood","1"
"27","27/05/2023 14:40",0.288,25.7,"wood","1"
"28","27/05/2023 14:45",0.288,25.7,"wood","1"
"29","27/05/2023 14:50",0.288,25.8,"wood","1"
"30","27/05/2023 14:55",0.288,25.8,"wood","1"
"31","27/05/2023 15:00",0.288,25.8,"wood","1"
"32","27/05/2023 15:05",0.288,25.9,"wood","1"
"33","27/05/2023 15:10",0.288,25.9,"wood","1"
"34","27/05/2023 15:15",0.288,25.9,"wood","1"
"35","27/05/2023 15:20",0.288,26,"wood","1"
"36","27/05/2023 15:25",0.288,26,"wood","1"
"37","27/05/2023 15:30",0.288,26.1,"wood","1"
"38","27/05/2023 15:35",0.288,26.1,"wood","1"
"39","27/05/2023 15:40",0.288,26.1,"wood","1"
"40","27/05/2023 15:45",0.288,26.2,"wood","1"
"41","27/05/2023 15:50",0.288,26.2,"wood","1"
"42","27/05/2023 15:55",0.288,26.3,"wood","1"
"43","27/05/2023 16:00",0.288,26.3,"wood","1"
"44","27/05/2023 16:05",0.288,26.3,"wood","1"
"45","27/05/2023 16:10",0.288,26.4,"wood","1"
"46","27/05/2023 16:15",0.288,26.4,"wood","1"
"47","27/05/2023 16:20",0.288,26.4,"wood","1"
"48","27/05/2023 16:25",0.288,26.4,"wood","1"
"49","27/05/2023 16:30",0.288,26.5,"wood","1"
"50","27/05/2023 16:35",0.288,26.5,"wood","1"
"51","27/05/2023 16:40",0.288,26.6,"wood","1"
"52","27/05/2023 16:45",0.288,26.6,"wood","1"
"53","27/05/2023 16:50",0.288,26.6,"wood","1"
"54","27/05/2023 16:55",0.288,26.6,"wood","1"
"55","27/05/2023 17:00",0.288,26.7,"wood","1"
"56","27/05/2023 17:05",0.288,26.7,"wood","1"
"57","27/05/2023 17:10",0.288,26.7,"wood","1"
"58","27/05/2023 17:15",0.288,26.7,"wood","1"
"59","27/05/2023 17:20",0.288,26.8,"wood","1"
"60","27/05/2023 17:25",0.288,26.8,"wood","1"
"61","27/05/2023 17:30",0.288,26.8,"wood","1"
"62","27/05/2023 17:35",0.288,26.8,"wood","1"
"63","27/05/2023 17:40",0.288,26.9,"wood","1"
"64","27/05/2023 17:45",0.288,26.9,"wood","1"
"65","27/05/2023 17:50",0.288,26.9,"wood","1"
"66","27/05/2023 17:55",0.288,26.9,"wood","1"
"67","27/05/2023 18:00",0.288,26.9,"wood","1"
"68","27/05/2023 18:05",0.288,27,"wood","1"
"69","27/05/2023 18:10",0.288,27,"wood","1"
"70","27/05/2023 18:15",0.288,27,"wood","1"
"71","27/05/2023 18:20",0.288,27,"wood","1"
"72","27/05/2023 18:25",0.288,27,"wood","1"
"73","27/05/2023 18:30",0.288,27,"wood","1"
"74","27/05/2023 18:35",0.288,27,"wood","1"
"75","27/05/2023 18:40",0.288,27.1,"wood","1"
"76","27/05/2023 18:45",0.288,27.1,"wood","1"
"77","27/05/2023 18:50",0.288,27.1,"wood","1"
"78","27/05/2023 18:55",0.288,27.1,"wood","1"
"79","27/05/2023 19:00",0.288,27.1,"wood","1"
"80","27/05/2023 19:05",0.288,27.1,"wood","1"
"81","27/05/2023 19:10",0.288,27.1,"wood","1"
"82","27/05/2023 19:15",0.288,27.1,"wood","1"
"83","27/05/2023 19:20",0.288,27.1,"wood","1"
"84","27/05/2023 19:25",0.288,27.1,"wood","1"
"85","27/05/2023 19:30",0.288,27.2,"wood","1"
"86","27/05/2023 19:35",0.288,27.2,"wood","1"
"87","27/05/2023 19:40",0.288,27.2,"wood","1"
"88","27/05/2023 19:45",0.288,27.2,"wood","1"
"89","27/05/2023 19:50",0.288,27.2,"wood","1"
"90","27/05/2023 19:55",0.288,27.2,"wood","1"
